CF_PIPELINE_NAME,CF_BUILD_URL,IMAGE_TAG
BreadPoc/Bread_CD,https://g.codefresh.io/build/65e85125d0d0df5a45948002,20240306100738
BreadPoc/Bread_CD,https://g.codefresh.io/build/65e853575a69f1b460584284,20240306100738
BreadPAY/Deploy_CD,https://g.codefresh.io/build/65e85779a456184596d3781e,20240306100738
BreadPAY/Deploy_CD,https://g.codefresh.io/build/660a75ce170412288783fc94,None
